fieldtagv,volumeRange,dateRange
v. 36-37 (Nov. 1965-Oct. 1967),"[36, 37]","[1965-11, 1967-10]"
v. 67 (May-Oct. 1996),"[67, 67]","[1996-05, 1996-10]"
v. 70-73 (Sept. -Dec. 1955),"[70, 73]","[1955-09, 1955-12]"
"v. 1-2, 1985-86","[1, 2]","[1985, 1986]"
1992:Feb.-Mar.,,"[1992-02, 1992-03]"
2009:spring,,"[2009-03, 2009-06]"
"v. 93, no. 3 (autumn 2013)","[93, 93]","[2013-09, 2013-12]"
v. 3-4 (Mar. 1969-Winter 1970),"[3, 4]","[1969-03, 1971-03]
OR
[1969-03, 1970-03] ??"
Aug. 1976,,"[1976-08, 1976-08]"
"May 1, 1888 - Aug 31, 1888",,"[1888-05-01, 1888-08-31]"
"v. 10, no. 1 - 4 (win. - aut. 1976) inde","[10, 10]","[1976-01, 1976-12] ??"
1969-76,,"[1969, 1976]"
Jan.-Dec. 1967,,"[1967-01, 1967-12]"
1964-65,,"[1964, 1965]"
"Jan. 2, 1964-July 29, 1965",,"[1964-01-02, 1965-07-29]"
Mar. 1969-Winter 1970,,"[1969-03, 1970-12-21]
OR
[1969-03, 1970-03] ??"
1985-86,,"[1985, 1986]"
Nov. 1965-Oct. 1967,,"[1965-11, 1967-10]"
1992:Feb.-Mar,,"[1992-01, 1992-03]"
autumn 2013,,"[2013-09, 2013-12]"
1904/1905,,"[1904, 1905]"
1951/52-1959/60,,"[1951, 1960]"
1934/1935-1935/1936,,"[1934, 1936]"
2011,,"[2011,2011]"
"v. 6-7 no. 2, 5-v. 8 no. 1 (Oct. 1961-Sept./Oct. 1962, May-June/July 1963)","[6, 8]","[1961-10, 1962-10]
[1963-05, 1963-07]"
1936 Mar,,"[1936-03,1936-03]"
v. 7,"[7,7]",
no. 42 (1996),"[42,42]","[1996,1996]"
1928,,"[1928,1928]"
"r. 16: v. 64, no. 1-26 (Jan. 4, 1991-June 28, 1991)","[64,64]","[1991-01-04,1991-06-28]"
v. 38 (1912),"[38,38]","[1912,1912]"
Box 553,"[553,553]",
Jahrg. 30 (1982),"[30,30]","[1982,1982]"
"v. 17, no. 1 (Jan. 1919)","[17,17]","[1919-01,1919-01]"
"1953, nos. 3-4","[3,4]","[1953,1953]"
v. 3 (2001 - 2005),"[3,3]","[2001,2005]"
Folder 4,,
1964,,"[1964,1964]"
"r. 143: Nov. 8-Dec. 31, 1896","[143,143]","[1806-11-08,1986-12-31]"
v. 6-7,"[6,7]",
"v. 10, no. 20 (July/Dec. 2006)","[10,10]","[2006-07,2006-12]"
"1982-88, inc.",,"[1982,1988]"
(Jan. 1958),,"[1958-01,1958-01]"
Jahrg. 64 (July-Dec. 1937),"[64,64]","[1937-07,1937-12]"
v. 2,"[2,2]",
Register Andra kammaren (1879),,"[1879,1879]"
Apr. 15-May 1980,,"[1980-04-15,1980-05]"
1995/1996,,"[1995,1996]"
"1972-1973, 1975/76-1980",,"[1972,1973], [1975,1980]"
r. 18: v. 165-166 (July-Dec. 1966),"[165,166]","[1966-07,1966-12]"
"r. 78: Vol. 72 (Apr. 5-June 29, 1928)","[72,72]","[1928-04-05,1928-06-29]"
1972/73-1978/79,,"[1972,1979]"
no. 1324-1329,"[1324,1329]",
v. 3,"[3,3]",
2009,,"[2009,2009]"
v. 54-55 (1979-1980),"[54,55]","[1979,1980]"
v. 7 (1945/46-1948/49),"[7,7]","[1945,1949]"
r. 130,"[130,130]",
1970,,"[1970,1970]"
v. 3,"[3,3]",
v. 3 pt. 1 1971-72,"[3,3]","[1971,1972]"
ed. 21 (1859),,"[1859,1859]"
Aug. 1858-Aug. 1859,,"[1858-08,1859-08]"
text,,
v. 31-33 (Jan.-Nov. 1980),"[31,33]","[1980-01,1980-11]"
v. 57 1865,"[57,57]","[1865,1865]"
"Sales no. 1977, XVI, no. 1",,"[1977,1877]"
Mar 1 2000 - Mar 15 2000,,"[2000-03-01,2000-03-15]"
v. 96-110 Jan. 1992-Mar. 1993,"[96,110]","[1992-01,1993-03]"
"v. 60, pt.2 (1976)","[60,60]","[1976,1976]"
v. 18(ORN-PHT),"[18,18]",
"v. 23, no. 4 (Dec. 2003)","[23,23]","[2003-12,2003-12]"
"Dec. 1, 1972-Dec. 15, 1972",,"[1972-12-01,1972-12-15]"
5 titles,,
v. 23 (2002),"[23,23]","[2002,2002]"
v. 24 (Feb.-Apr. 1926),"[24,24]","[1926-02,1926-04]"
"v. 178, no. 17-19 (Aug. 2-27, 1996)","[178,178]","[1996-08-02,1996-08-27]"
volume in enclosure,,
1990 April 1-15,,"[1990-04-01,1990-01-15]"
Oct.-Dec. 1862,,"[1862-10,1862-12]"
v. 100:Accounts v. 52 (1904),"[100,100], [52,52]","[1904,1904]"
1986,,"[1986,1986]"
r. 18: 1914,"[18,18]","[1914,1914]"
v. 4,"[4,4]",
vol3 Mag 11- 22 Dec (1876-1878),"[3,3]","[1876,1878]"
v. 64 (1962),"[64,64]","[1962,1962]"
July-Dec. 2008,,"[2008-07,2008-12]"
1910 June 10-Dec. 9,,"[1910-06,1910-12-09]"
no. 54 (Jan-Jun 2004),"[54,54]","[2004-01,2004-06]"
v. 9 (1909),"[9,9]","[1909,1909]"
v. 38 (1940),"[38,38]","[1940,1940]"
1967 (Dec.),,"[1967,1967]"
v. 6 (1928),"[6,6]","[1928,1928]"
"r. 7: Jan. 4, 1971 - Dec. 31, 1971/ Jan. 3, 1972 (Incomplete)",,"[1971-01-04, 1972-01-03]?"
fasc. 32,,
"v. 77 (Oct. 13-Dec. 22, 1977)","[77,77]","[1977-10-13,1977-12-22]"
v. 40-41 (Jan. 1960-Apr. 1961),"[40,41]","[1960-01,1961-04]"
v. 4,"[4,4]",
-1957,,"[1957,1957]?"
27th ed. (1988),,"[1988,1988]"
v. 1-5 (1904-09),"[1,5]","[1904,1909]"
1952-1958,,"[1952,1958]"
Box 5,"[5,5]",
"r. 46: v. 70, (1934)","[70,70]","[1934,1934]"
v. 8 (1794),"[8,8]","[1794,1794]"
Jan. 2015:v. 2,"[2,2]","[2015-12,2015-12]"
v. 19 (June-Dec. 1976),"[19,19]","[1976-06,1976-06]"
Bd. 8-9,,
1993:pt. 7-9,,"[1993,1993]"
"V. 32 : JULY10-30, 1962","[32,32]","[1962-07-10, 1962-07-30]?"
No. 90 (2009),"[90,90]","[2009,2009]"
v. 17 (July-Dec. 1920),"[17,17]","[1920-07,1920-12]"
1961-64,,"[1961,1964]"
"r. 3: Mar. 28, 1910-Sept. 24, 1911","[3,3]","[1910-03-28,1911-09-24]"
(Jul. 1987),,"[1987-07,1987-07]"
1982,,"[1982,1982]"
v. 23 (1992) & Index,"[23,23]","[1992,1992]"
reel 1553,"[1553,1553]",
"v. 1, 1970","[1,1]","[1970,1970]"
"v. 39-48, Feb.-Dec. 1951","[39,48]","[1951-02,1951-12]"
"Feb. 19, 1972-Feb. 24, 1973",,"[1972-02-19,1972-02-24]"
r. 194: nos. 1879 - 1887,"[194,194]?","[1879,1887]?"
v. 1,"[1,1]",
v. 27,"[27,27]",
-1966,,"[1966,1966]?"
v. 2,"[2,2]",
cas.3386 (03386: Amelia Earhart),,
"v. 26-27, OCT. 1943-SEPT. 1945","[26,27]","[1943-10,1945-09]"
v. 32 (1972),"[32,32]","[1972,1972]"
Box 675,"[675,675]",
v. 2 (1953),"[2,2]","[1953,1953]"
v. 1-2,"[1,2]",
1911-1912,,"[1911,1912]"
v. 3,"[3,3]",
v. 105 1936,"[105,105]","[1936,1936]"
"v. 17, pt. 1-6 1983","[17,17]","[1983,1983]"
"Feb. 21-29, 1976",,"[1976-02-21,1976-02-29]"
Reel 2 of 2,"[2,2]",
"May 2-Jun. 20, 1873",,[1873-05-02-1873-06-20]
sv. 1-2,,
v. 9 (1938-1939),"[9,9]",[1938-1939]
2016,,"[2016,2016]"
v. 21-25 (1981-83),"[21,25]","[1981,1983]"
v. 1957,"[1957,1957]?","[1957,1957]?"
v. 92 (Apr.-June 1939),"[92,92]","[1939-04,1939-06]"
1984-1988/90,,"[1984,1990]"
r. 37: pt. 3 (1868) Inc.,"[37,37]","[1868,1868]"
Bd. 3 (Johann von wurzburg),,
v. 284 (Nov. 1978),"[284,284]","[1978-11,1978-11]"
"Sozyv 3, sess. 4, ch. 4: suppl. 2 (1910-1911)",,"[1910,1911]"
2006:no. 31-43,"[31,43]","[2006,2006]"
Pt. 1A No. 26-50 (July-Dec. 1928),"[26,50]","[1928-07,1928-07]"
no. 608,"[608,608]",
"v. 175 (May 21-June 25, 1949)","[175,175]","[1949-05-21,1949-06-25]"
v. 104 (Jan. 1964),"[104,104]","[1964-01,1964-01]"
v. 9,"[9,9]",
R. 985,,
1973-1976,,"[1973,1976]"
"v. 7, no. 2 (2002)","[7,7]","[2002,2002]"
reel 14764,"[14764,14764]",
no. 109-164 (1930-1944) Incomplete,"[109,164]","[1930,1944]"
jaarg. 24 (Jan.-June 1967),"[24,24]","[1967-01,1967-06]"
v. 2 n. 6,"[2,2]",
"Bd. 12, T. 1",,
"July, Sep., 2002",,"[2002-07,2002-09]"
"Sales no. 1967, XVI, no. 1-2","[1,2]?","[1967,1967]"
v. 42 (1997),"[42,42]","[1997,1997]"
v. 2:no. 7615-7650 (1970),"[2,2]","[1970,1970]"
Vol. IV,,
v. 28-30 (1953-55),"[28,30]","[1953,1955]"
v. 3-2,"[2,3]?",
t. 2,,
v. 2 (Nov. 1938-Apr. 1939),"[2,2]","[1938-11,1939-04]"
cassette 1,"[48,48]","[1965,1965]"
v. 48 no. 2 (1965),"[48,48]","[1965,1965]"
no. 1 (Westinghouse high speed and signal equipment),"[1,1]",
v. 28-28 (1990-95) (inc.),"[28,28]","[1990,1995]"
Sept.-Dec. 2010,,"[2010-09,2010-12]"
v. 29 (2003),"[29,29]","[2003,2003]"
v. 207 no.4-6 (1972),"[207,207]","[1972,1972]"
1974-1978,,"[1974,1978]"
v. 18 (1913),"[18,18]","[1913,1913]"
"v. 32, 33, 34, 35","[32,35]",
Feb 21 1972 - Feb 29 1972,,"[1972-02-21,1972-92-21]"
1986/1987,,"[1986,1987]"
"r. 998: Aug. 23-25, 1987","[998,998]","[1987-08-23,1987-08-25]"
v.27 (1941),"[27,27]","[1941,1941]"
box BE49,,
"Council Bluffs (IA): 1958, 1959",,"[1958,1959]"
v. 13-16 1982,[13-16],"[1982,1982]"
1967-1969,,"[1967,1969]"
v. 1,"[1,1]",
v. 37 (1995),"[37,37]","[1995,1995]"
copy 2,,
"Sess. 1839 2nd, v. 2, no. 31-52","[2,2]","[1839,1839]?"
"v. 34, July-Dec. 1947","[34,34]","[1947-07,1947-12]"
v. 3,"[3,3]",
v. 4,"[4,4]",
"1937-1938, 1941-1942",,"[1937,1938], [1941,1942]"
v. 2,"[2,2]",
v. 28-31 (1996-1999),"[28,31]","[1996,1999]"
c. 2,"[2,2]?",
v. 27 (1878),"[27,27]","[1878,1878]"
1932,,"[1932,1932]"
Mar 1 1989 - Mar 15 1989,,"[1989-03-01,1989-03-15]"
v. 3,"[3,3]",
1782,,"[1782,1782]"
v. 48-51 : apr 1962 - mar 1966,"[48,51]","[1962-04,1966-93]"
"v. 372-386 (Sept. 10 -Dec. 17, 2005 & Suppl.)","[372,386]","[2005-09-10,2005-12-17]"
v. 105 (Jan-Feb 1987),"[105,105]","[1987-01,1987-02]"
"v. 16-17, no. 1-2 (2009-2010)","[16,17]","[2009,2010]"
v. 1,"[1,1]",
v. 2 (1759-1779),"[2,2]","[1759,1779]"
v. 3,"[3,3]",
â€”,,
t. 21 (1885-1886),,"[1885,1886]"
ed. 5 (1973),,"[1973,1973]"
Nr. 5 (1930),"[5,5]","[1930,1930]"
Mar. 1971,,"[1971-03, 1971-03]"
"v. 5-7, no. 37-60 (1963 inc)","[5,7]","[1934-04,1934-06]"
v. 70 (Apr.-June 1934),"[70,70]","[1934-06,1934-04]"
2003:no. 6,"[6,6]","[2003,2003]"
bd. 1-2 (1950-52),"[1,2]?","[1950,1952]"
v. 5,"[5,5]",
v. 5 (1928),"[5,5]","[1928,1928]"
Bd. 1,"[1,1]?",
"v. 12, pt. 1 (1873)","[12,12]","[1873,1873]"
July-Aug. 1962,,"[1962-07,1962-08]"
v. 12 (1997),"[12,12]","[1997,1997]"
v. 6 (1913),"[6,6]","[1913,1913]"
v. 68-83 (1928/1929-1943/1944),"[68,83]","[1928,1944]"
v. 95:no. 1293251-1293350 (1962),"[95,95]","[1962,1962]"
(1968 - 1971),,"[1968,1971]"
"Index v. 1-22 (1918-37, pt. 1)","[1,22]","[1918,1937]"
1993,,"[1993,1993]"
v. 3 1928,"[3,3]","[1928,1928]"
"v. 5, pt. 2","[5,5]",
"v. 9, 1926","[9,9]","[1926,1926]"
-1998,,"[1998,1998]?"
1983/84,,"[1983,1984]"
1969/70-1973,,[1969-1973]
v. 26 (Oct. 1918-June 1919),"[26,26]","[1918-10,1919-06]"
v. 83 (Sept. -Dec. 1957),"[83,83]","[1957-09,1957-12]"
"1912-1927, inc.",,"[1912,1927]"
no. 998 (35th Cong. 1858/1859),"[998,998]","[1858,1859]"
v. 1,"[1,1]",
"v. 6, 1997","[6,6]","[1997,1997]"
"1991, no. 10-12","[10,12]","[1991,1991]"
r. 3: v. 7-9 (Jan. 1890-June 1891),"[7,9]","[1890-01,1891-06]"
v. 1,"[1,1]",
"v. 86-87, 1944","[86,87]","[1944,1944]"
v. 1,"[1,1]",
v. 7-8,"[7,8]",
v. 2,"[2,2]",
no. 50-51 (1996),"[50,51]","[1996,1996]"
r. (A-K),,
v. 27 1955,"[27,27]","[1955,1955]"
v. 385 (1975),"[385,385]","[1975,1975]"
v. 24 1883,"[24,24]","[1883,1883]"
v. 3 (1972),"[3,3]","[1972,1972]"
no. 5-8 (1971),"[5,8]","[1971,1971]"
box 305,"[305,305]",
t. 41,"[41,41]?",
1895-1896/1897,,[1895-1897]
"Jan. 1-June 29, 1824",,"[1824-01-01,1824-06-29]"
1994/95,,"[1994,1995]"
v. 76 (1962),"[76,76]","[1962,1962]"
v. 463 [1982],"[463,463]","[1982,1982]"
Aug. 1941,,"[1941-08,1941-08]"
"v. 3, pt. 1","[3,3]",
Nov 01 1992 - Nov 15 1992,,"[1992-11-01,1992-11-15]"
Jul 16 1984 - Jul 31 1984,,"[1984-07-16,1984-07-31]"
v. 4,"[4,4]",
"v. 8, no. 85-v. 9, no. 105 (Sept. 1978-June 1980) (inc.)","[8,9]?","[1978-09,1980-06]"
v. 1 (1881),"[1,1]","[1881,1881]"